"sum","norm","min","max","q1","q3","iqr","mean","med","std","range","skew","kurtosis","classification","validate","zeroes","aboveMeanCount","entropy","zeros.log","norm.log","min.log","max.log","q1.log","q3.log","med.log","std.log","range.log","skew.log","kurtosis.log","aboveMeanCount.log","contourCountLSD","contourAvgLength","contourLengthLSD","contourAvgLengthLSD"
-0.220981108594984,-0.236171361188599,-0.204752005135972,-0.249577960233255,-0.21444928686375,-0.222967382539215,0.218931239969929,-0.220981108594984,-0.219424790137068,-0.236400402493187,-0.233547309616254,-0.308307920891532,-0.144865017902962,"high",0,14,25667,10.7730340703786,2.63905732961526,5.01094300553867,-2.30258509299405,-0.0155180484372415,-1.46814433048869,-0.721354028725224,-1.05258287659469,-1.6605127667181,-0.0155180484372415,-0.879507106322362,NA,10.1529613990964,360,56.84848485,2999906,8333.072222
-0.220980634864813,-0.236166234672109,-0.204752005135972,-0.249577941199661,-0.214448169597527,-0.222967920673578,0.218955342537121,-0.220980634864813,-0.219423616002575,-0.236406207284048,-0.233547266507715,-0.320550506472368,-0.14451895326279,"high",0,8,27619,10.7918695924079,2.07944154167984,5.19455772270484,-2.30258509299405,-0.0151027916388889,-1.37737960153227,-0.743941579918999,-0.987427831803978,-1.71366233456977,-0.0151027916388889,-1.13185562652518,-1.87440640490434,10.2262592206598,354,59.52173913,2698643,7623.285311
-0.220980047881357,-0.236165677788213,-0.204752005135972,-0.249579441041868,-0.214447655738972,-0.222967146144057,0.218951249869958,-0.220980047881357,-0.2194233896204,-0.23640649141664,-0.233550663449277,-0.324867273009424,-0.144908052672637,"high",0,9,26545,10.8018076619802,2.19722457733622,5.21261537143212,-2.30258509299405,-0.0483652375834873,-1.33824878282989,-0.711590662101967,-0.975339305135838,-1.7163378500183,-0.0483652375834873,-1.23856440778279,NA,10.1865966850178,325,56.13846154,2459140,7566.584615
-0.220979984391985,-0.236164602304683,-0.204751999888706,-0.249579577628225,-0.214446780174513,-0.222967889512574,0.218974915038115,-0.220979984391985,-0.219423173901717,-0.23642128931432,-0.233550981300025,-0.316511540178626,-0.144580918211644,"high",0,0,27028,10.8367120625235,-2.30258509299405,5.24659245645767,-9.42546623865354,-0.0514500480660063,-1.27491030000266,-0.742619624438721,-0.963954592992878,-1.86661435743368,-0.0515349533916466,-1.04137599812972,-2.19637019071557,10.2046286446721,338,50.95384615,2522833,7464.002959
-0.220979754936673,-0.23616301625505,-0.204751930451449,-0.249581143395855,-0.214446443731158,-0.22296754775011,0.218974691033691,-0.220979754936673,-0.219423045486376,-0.236421064594319,-0.233554640047299,-0.330106932186888,-0.144756234254861,"high",0,0,26754,10.8367198758592,-2.30258509299405,5.2946827538202,-6.76990049640166,-0.0875100128623209,-1.25160048587443,-0.728234445134856,-0.957238415343057,-1.86415489986942,-0.0887635778878951,-1.38554054061176,NA,10.1944392738555,329,56.13846154,2392447,7271.87538
-0.220980405164275,-0.236164961000826,-0.204752005135972,-0.249577377210499,-0.214447150928836,-0.222967614814018,0.218965489307334,-0.220980405164275,-0.219423742578125,-0.236414555604934,-0.233545989147859,-0.325843653195429,-0.14434584853156,"high",0,19,26644,10.8150010784365,2.94443897916644,5.23538821087562,-2.30258509299405,-0.00287582339957873,-1.30124267474897,-0.731040971329335,-0.994251052254863,-1.79542170909834,-0.00287582339957873,-1.26436493447622,-1.30398782066272,10.1903192635331,320,53.01428571,2161890,6755.90625
-0.220979502699185,-0.23616176648464,-0.204752005135972,-0.24957871855039,-0.214446992725649,-0.222966053968178,0.218944590670317,-0.220979502699185,-0.219422361136167,-0.23639884286001,-0.233549027102921,-0.355293091073713,-0.145158752465962,"high",0,37,27987,10.782530194402,3.61091791264422,5.3310120850612,-2.30258509299405,-0.0322041661285392,-1.2899215672039,-0.667680466673125,-0.922188032874184,-1.64670120255873,-0.0322041661285392,-2.81703283023255,NA,10.2394953956291,313,53.3220339,2100387,6710.501597
-0.22098091709849,-0.236164739141605,-0.204752005135972,-0.249578060000802,-0.214448250671212,-0.222967967748383,0.218954872568239,-0.22098091709849,-0.219423528564469,-0.236397623141333,-0.233547535576374,-0.335921586538791,-0.144603732740967,"high",0,434,28659,10.7553565537632,6.07304453410041,5.24233301054515,-2.30258509299405,-0.0176975069045065,-1.38369572952424,-0.745941972886924,-0.982741408882122,-1.63603117952762,-0.0176975069045065,-1.57876236395381,-2.34701781794,10.2632228089381,314,58.37804878,2198588,7001.872611
-0.220980279186022,-0.236165352408586,-0.204752005135972,-0.249577320134685,-0.214446796339197,-0.222967625919075,0.21897076735569,-0.220980279186022,-0.21942284879922,-0.236410132053789,-0.23354585987879,-0.363152481703007,-0.144648548527842,"high",0,6,28989,10.7986150987517,1.79175946922805,5.22301722983965,-2.30258509299405,-0.00164674135361339,-1.27604403543462,-0.731506462750306,-0.947038258168713,-1.75126860355051,-0.00164674135361339,-7.91105795070148,-2.7317661458663,10.2746717266674,289,59.36363636,1905773,6594.370242
-0.220980262798694,-0.236167039058983,-0.204752002885776,-0.249578317643701,-0.214446823292,-0.222967346297288,0.218966226076382,-0.220980262798694,-0.219423124755243,-0.236418005184876,-0.233548122748491,-0.3527300887257,-0.14464546048367,"high",0,0,28013,10.8217508410436,-2.30258509299405,5.16788498319867,-10.2721561796181,-0.0233478811964835,-1.27793727560335,-0.719850998554716,-0.961378880298273,-1.83125924992976,-0.0233832814846228,-2.53629463611236,-2.6999444473084,10.2404239671244,273,52.53731343,1706917,6252.443223
-0.0296981925258605,1.12608082903696,-0.221922781049558,2.16007959096172,-0.214461046155853,-0.0959120641173832,-1.6681190640342,-0.0296981925258605,-0.219440005811727,4.62373252724513,5.25182197703366,-0.013979412691963,-0.135313095299196,"high",0,24830,11694,9.40538161030543,10.1198078785022,15.8994812892763,NA,10.8546401274627,-2.30258509299405,7.8492315707163,-3.1119229859848,9.01630067902168,10.8597242277316,0.970812518456562,1.86079520065443,9.36683116873562,200,62.94444444,1035452,5177.26
