contourAvgLength,contourCountLSD,contourLengthLSD,contourAvgLengthLSD
50.48888889,170,613009,3605.935294
116,2,2289,1144.5
66.5,12,5368,447.3333333
77,10,4762,476.2
54.33333333,16,7323,457.6875
44.8,13,5401,415.4615385
34.14285714,10,3730,373
46.25,8,3524,440.5
34.71428571,11,4385,398.6363636
51.75,11,4592,417.4545455
62.66666667,16,8496,531
34,35,23922,683.4857143
40.04,60,70486,1174.766667
40,59,70927,1202.152542
47.02439024,75,115012,1533.493333
54.4375,66,104693,1586.257576
52.11764706,91,180217,1980.406593
50.84848485,101,241486,2390.950495
54.05405405,86,176015,2046.686047
47.43478261,117,346224,2959.179487
49.90697674,107,326856,3054.728972
41.4375,158,483445,3059.778481
36.15873016,128,303116,2368.09375
37.20634921,166,524715,3160.933735
38.07142857,140,369449,2638.921429
32.15254237,106,221147,2086.292453
36.94230769,133,356530,2680.676692
37.5,135,345564,2559.733333
38.18518519,140,372279,2659.135714
36.39215686,80,132269,1653.3625
41.8,93,167202,1797.870968
39.48214286,112,203589,1817.758929
36.68421053,105,195225,1859.285714
36.4,53,55570,1048.490566
32.74418605,43,34792,809.1162791
44.20454545,94,150412,1600.12766
38.38636364,64,73320,1145.625
37.73469388,58,61308,1057.034483
36.10204082,103,204618,1986.582524
39.80769231,90,144054,1600.6
35.41071429,68,79846,1174.205882
71.75609756,169,546201,3231.95858
79.48120301,137,349158,2548.59854
82.16129032,116,293592,2530.965517
81.31060606,162,567402,3502.481481
80.14965986,178,721828,4055.213483
79.61325967,169,695136,4113.230769
84.69172932,160,581736,3635.85
82.12408759,141,442121,3135.609929
76.03571429,135,361846,2680.340741
73.49006623,124,305686,2465.209677
67.55172414,122,343084,2812.163934
70.7745098,134,407264,3039.283582
66.03061224,173,627009,3624.32948
67.99122807,153,505125,3301.470588
67.32575758,240,1253643,5223.5125
68.3649635,224,1153169,5148.075893
68.28813559,221,1045398,4730.307692
72.39449541,206,1072916,5208.330097
67.97794118,258,1354308,5249.255814
72.72649573,244,1257741,5154.67623
50.34951456,95,246516,2594.905263
50.24031008,91,248294,2728.505495
47.62585034,119,457725,3846.428571
50.17741935,123,540893,4397.504065
52.36296296,142,653456,4601.802817
47.22222222,124,487953,3935.104839
52.04255319,103,324580,3151.262136
50.03759398,107,387696,3623.327103
49.26415094,137,596148,4351.445255
51.46969697,108,311951,2888.435185
45.47572816,167,633041,3790.664671
48.57522124,220,1146615,5211.886364
50.37894737,213,1035053,4859.403756
47.26595745,263,1779000,6764.258555
45.96907216,200,1016203,5081.015
49.35789474,199,968720,4867.939698
52.69047619,146,480751,3292.815068
48.7244898,201,972284,4837.233831
50.1,257,1589858,6186.217899
48.3592233,228,1227298,5382.885965
46.55681818,569,6780432,11916.4007
45.3,562,6688166,11900.65125
44,585,7841149,13403.6735
44.464,574,7501828,13069.38676
41.94656489,575,7458461,12971.23652
42.71538462,612,8068106,13183.17974
46.76635514,573,7520485,13124.75567
39.79824561,576,7531005,13074.66146
46.50892857,614,8633850,14061.64495
43.33333333,591,8343243,14117.16244
46.21052632,183,607918,3321.956284
44.44444444,205,769555,3753.926829
38.85,202,755041,3737.826733
37.0625,205,749679,3656.970732
44.31818182,231,993941,4302.774892
47.275,234,1090386,4659.769231
47.66666667,189,680058,3598.190476
50.75675676,204,811822,3979.519608
44.30434783,220,1005451,4570.231818
47.29787234,205,854477,4168.180488
40.01960784,289,1656037,5730.231834
39.13953488,304,1837387,6044.036184
44.875,283,1535369,5425.332155
45,298,1877803,6301.352349
47.66666667,302,1843118,6103.039735
43.38636364,310,1897586,6121.245161
38.68518519,320,2121364,6629.2625
42.03846154,333,2281942,6852.678679
44.075,333,2206287,6625.486486
45.94117647,337,2394312,7104.783383
28.5625,193,651817,3377.290155
33.45454545,217,822424,3789.97235
30.2,229,946646,4133.825328
34.09090909,208,761610,3661.586538
29.47368421,226,880187,3894.632743
31.95,212,818479,3860.75
33.23809524,168,517722,3081.678571
33.19047619,234,977001,4175.217949
35.0952381,204,731936,3587.921569
33.10526316,201,727189,3617.855721
44,129,295932,2294.046512
34.27777778,125,279508,2236.064
43,101,213737,2116.207921
44.36363636,131,308732,2356.732824
44.54545455,139,342402,2463.323741
38.57142857,121,247134,2042.429752
36.75,124,283770,2288.467742
42.52173913,140,364789,2605.635714
42.21052632,128,314401,2456.257813
38.58333333,131,300094,2290.793893
66.425,141,481738,3416.58156
71.89473684,120,341920,2849.333333
69.24752475,124,327436,2640.612903
70.60227273,108,274373,2540.490741
64.9893617,106,268821,2536.04717
72.20430108,94,212649,2262.223404
68.86,85,184967,2176.082353
74.61764706,87,179768,2066.298851
71.80612245,100,239168,2391.68
80.09302326,129,393293,3048.782946
60.33783784,115,266473,2317.156522
55.89333333,155,438357,2828.109677
53.43333333,139,384618,2767.035971
51.00961538,129,332582,2578.155039
50.63333333,103,219591,2131.951456
48.81553398,103,229550,2228.640777
52.75238095,148,472117,3189.97973
54.13978495,116,284865,2455.732759
51.52222222,129,363539,2818.131783
59.09302326,150,502638,3350.92
54.9893617,180,790330,4390.722222
69.93670886,200,840518,4202.59
64.64772727,140,447307,3195.05
60.1875,157,551311,3511.535032
59.60493827,146,511027,3500.184932
54.79487179,102,226739,2222.931373
67.06796117,103,243905,2368.009709
66.46078431,100,216728,2167.28
63.02061856,115,345215,3001.869565
63.5,141,497314,3527.049645
111.0617978,28,19128,683.1428571
136.8606061,14,5520,394.2857143
160.4269006,27,14791,547.8148148
147.6227545,24,14218,592.4166667
135.2773723,24,11950,497.9166667
130.7181208,30,19304,643.4666667
135.7464789,27,16196,599.8518519
140.1025641,33,21981,666.0909091
169.2325581,41,31277,762.8536585
140,14,6383,455.9285714
52.1375,80,156071,1950.8875
47.12643678,78,140240,1797.948718
47.32173913,62,94245,1520.080645
48.43809524,85,183167,2154.905882
50.13953488,79,137774,1743.974684
54.97580645,66,111131,1683.80303
59.68695652,73,126894,1738.273973
63.1875,59,87895,1489.745763
57.85365854,66,108598,1645.424242
50.5,55,70586,1283.381818
70.5,125,323255,2586.04
83.10638298,153,470233,3073.418301
96.26388889,168,604431,3597.803571
94.25,158,467480,2958.734177
117.7681159,106,252473,2381.820755
125.969697,112,216704,1934.857143
131.6393443,105,225869,2151.133333
94.65384615,124,315088,2541.032258
110.8428571,169,639528,3784.189349
82.98412698,113,286294,2533.575221
43.76923077,29,24649,849.9655172
45.35526316,32,29059,908.09375
51.48648649,25,16432,657.28
47.65853659,53,62955,1187.830189
47.66292135,56,70383,1256.839286
41.61458333,29,21885,754.6551724
41.93478261,34,31730,933.2352941
50.05714286,36,37469,1040.805556
43.41111111,42,48036,1143.714286
45.65384615,40,38536,963.4
42.30909091,15,7776,518.4
41.67142857,17,8813,518.4117647
44.20895522,17,9101,535.3529412
44.51948052,31,27331,881.6451613
49.87951807,35,30139,861.1142857
41.36893204,21,12186,580.2857143
42.87878788,32,26096,815.5
48.42156863,25,19629,785.16
43.1443299,24,17431,726.2916667
45.24390244,11,5004,454.9090909
57.70454545,187,735950,3935.561497
50.66666667,218,922692,4232.53211
